subject;title;author;date;excerpt;temporal;zone;agent;fase;state;func;local;form;view;role;lok;loe;num;suit;rev;citekey;svg;dxf;ifc
br-ba-salvador-casa_sete_candeeiros;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;200;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-ba-salvador-casa_sete_candeeiros;Planta do pavimento térreo;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-ba-salvador-casa_sete_candeeiros;Planta do pavimento superior;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;P01;D;1;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-ba-salvador-casa_sete_candeeiros;Elevação lateral esquerda para sudoeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-ba-salvador-casa_sete_candeeiros;Fachada para sudeste;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE
br-ba-salvador-casa_sete_candeeiros;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-casa_padre_braz;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;200;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-go-pilar-casa_padre_braz;Planta;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;400;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-casa_padre_braz;Fachada para sudeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;400;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-casa_padre_braz;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;400;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_cadeia_188;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-go-pilar-r_cadeia_188;Planta baixa;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_cadeia_188;Fachada para sudoeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_cadeia_188;Elevação posterior para nordeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;100;10;0002;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_cadeia_188;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_cadeia_188;Corte transversal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;100;10;0002;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_campo_lan;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-go-pilar-r_campo_lan;Planta baixa;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_campo_lan;Fachada para leste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;TER;D;2;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_campo_lan;Elevação posterior para oeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;TER;D;2;A;100;10;0002;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_campo_lan;Corte transversal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;TER;D;3;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_campo_lan;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;TER;D;3;A;100;10;0002;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_direita_32;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-go-pilar-r_direita_33;Planta baixa;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_direita_34;Fachada para ???;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_direita_35;Elevação lateral esquerda para sudoeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;100;10;0002;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_direita_35;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_nova_6;Planta de situação;Eduarda Santana;2024-02-11;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;200;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-go-pilar-r_nova_6;Planta baixa;Eduarda Santana;2024-02-11;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_nova_6;Fachada para sudeste;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;2;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-go-pilar-r_nova_6;Corte longitudinal;Eduarda Santana;2024-02-11;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;200;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-mg-sabara-casa_borba_gato;Planta de situação;Eduarda Santana;2023-12-24;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-mg-sabara-casa_borba_gato;Planta do pavimento térreo;Eduarda Santana;2023-12-24;;;Storey;ARQTRAD;LV;E;;TER;D;1;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-mg-sabara-casa_borba_gato;Planta do pavimento superior;Eduarda Santana;2023-12-24;;;Building;ARQTRAD;LV;E;;P01;D;1;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-mg-sabara-casa_borba_gato;Fachada para sul;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE
br-mg-sabara-casa_borba_gato;Corte longitudinal;Eduarda Santana;2023-12-24;;;Building;ARQTRAD;LV;E;;ZZZ;D;3;A;100;10;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_acauan;Planta de situação;Eduarda Santana;2023-12-10;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_acauan;Planta baixa;Eduarda Santana;2023-12-10;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_acauan;Fachada para oeste;Eduarda Santana;2023-12-10;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_acauan;Corte longitudinal;Eduarda Santana;2023-12-10;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_boa_vista;Planta de situação;Eduarda Santana;2023-12-26;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_boa_vista;Planta baixa;Eduarda Santana;2023-12-26;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_boa_vista;Fachada para oeste;Eduarda Santana;2023-12-26;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_boa_vista;Corte longitudinal;Eduarda Santana;2023-12-26;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_cacimba_do_meio;Planta de situação;Eduarda Santana;2023-12-27;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_cacimba_do_meio;Planta baixa;Eduarda Santana;2023-12-27;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
